Account,Total_PnL,Avg_PnL,Std_PnL,Trade_Count,Avg_Trade_Size,Total_Volume,Std_Trade_Size,First_Trade,Last_Trade,Trading_Days,Buy_Ratio,Preferred_Sentiment,Trading_Duration,Trades_per_Day,Sharpe_Ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,177214.71,53.82,151.93,3293,6689.41,22028230.61,13022.46,1970-01-01 00:28:50,1970-01-01 00:29:00,3293,0.39,Neutral,0,inf,0.35424208517080236
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,63520.88,8.9,46.17,7141,1517.14,10833912.03,3877.33,1970-01-01 00:28:50,1970-01-01 00:29:10,7141,0.42,Neutral,0,inf,0.19276586528048517
0x271b280974205ca63b716753467d5a371de622ab,39123.14,10.83,57.89,3611,5267.51,19020974.68,11486.24,1970-01-01 00:28:40,1970-01-01 00:29:10,3611,0.4,Neutral,0,inf,0.18707894282259457
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,143135.35,11.03,50.57,12982,504.81,6553493.09,1152.91,1970-01-01 00:28:50,1970-01-01 00:29:10,12982,0.5,Neutral,0,inf,0.2181135060312438
0x2c229d22b100a7beb69122eed721cee9b24011dd,109952.99,34.85,98.82,3155,2533.66,7993708.7,5669.75,1970-01-01 00:28:50,1970-01-01 00:29:10,3155,0.37,Neutral,0,inf,0.35266140457397294
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,13484.58,21.1,104.79,639,1196.05,764275.62,3555.94,1970-01-01 00:28:00,1970-01-01 00:29:10,639,0.27,Neutral,0,inf,0.20135509113465025
0x39cef799f8b69da1995852eea189df24eb5cae3c,86134.75,26.31,109.28,3274,2467.52,8078646.04,6847.5,1970-01-01 00:28:50,1970-01-01 00:29:00,3274,0.42,Neutral,0,inf,0.24075768667642752
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,13559.62,42.24,98.32,321,3146.55,1010044.02,6638.78,1970-01-01 00:28:50,1970-01-01 00:29:00,321,0.53,Neutral,0,inf,0.42961757526444266
0x420ab45e0bd8863569a5efbb9c05d91f40624641,11907.44,34.41,123.55,346,4484.02,1551470.38,9264.28,1970-01-01 00:28:50,1970-01-01 00:29:00,346,0.19,Neutral,0,inf,0.27851072440307567
0x430f09841d65beb3f27765503d0f850b8bce7713,93700.76,82.12,163.65,1141,1649.7,1882311.01,3447.05,1970-01-01 00:28:30,1970-01-01 00:29:10,1141,0.26,Neutral,0,inf,0.5018026275588146
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,123312.69,14.8,62.86,8333,517.08,4308815.57,659.56,1970-01-01 00:28:50,1970-01-01 00:29:10,8333,0.48,Neutral,0,inf,0.23544384346166083
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,212672.33,51.53,137.44,4127,4739.22,19558772.92,9405.71,1970-01-01 00:28:50,1970-01-01 00:29:10,4127,0.49,Neutral,0,inf,0.37492724097788127
0x4f93fead39b70a1824f981a54d4e55b278e9f760,317074.78,44.52,128.45,7122,13646.38,97189524.21,16530.31,1970-01-01 00:28:30,1970-01-01 00:29:10,7122,0.56,Neutral,0,inf,0.34659400544959135
0x513b8629fe877bb581bf244e326a047b249c4ff1,268304.41,25.08,96.92,10696,9075.55,97072035.07,14650.18,1970-01-01 00:28:50,1970-01-01 00:29:10,10696,0.52,Neutral,0,inf,0.25877011968633923
