Account,Total_PnL,Avg_PnL,Trade_Count,Std_PnL,Avg_Trade_Size,Preferred_Sentiment,Buy_Ratio,Performance_Segment
0x083384f897ee0f19899168e3b1bec365f52a9012,177214.71,53.82,3293,151.93,6689.41,Neutral,0.39,High Performer
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,63520.88,8.9,7141,46.17,1517.14,Neutral,0.42,High Performer
0x271b280974205ca63b716753467d5a371de622ab,39123.14,10.83,3611,57.89,5267.51,Neutral,0.4,High Performer
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,143135.35,11.03,12982,50.57,504.81,Neutral,0.5,High Performer
0x2c229d22b100a7beb69122eed721cee9b24011dd,109952.99,34.85,3155,98.82,2533.66,Neutral,0.37,High Performer
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,13484.58,21.1,639,104.79,1196.05,Neutral,0.27,High Performer
0x39cef799f8b69da1995852eea189df24eb5cae3c,86134.75,26.31,3274,109.28,2467.52,Neutral,0.42,High Performer
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,13559.62,42.24,321,98.32,3146.55,Neutral,0.53,High Performer
0x420ab45e0bd8863569a5efbb9c05d91f40624641,11907.44,34.41,346,123.55,4484.02,Neutral,0.19,High Performer
0x430f09841d65beb3f27765503d0f850b8bce7713,93700.76,82.12,1141,163.65,1649.7,Neutral,0.26,High Performer
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,123312.69,14.8,8333,62.86,517.08,Neutral,0.48,High Performer
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,212672.33,51.53,4127,137.44,4739.22,Neutral,0.49,High Performer
0x4f93fead39b70a1824f981a54d4e55b278e9f760,317074.78,44.52,7122,128.45,13646.38,Neutral,0.56,High Performer
0x513b8629fe877bb581bf244e326a047b249c4ff1,268304.41,25.08,10696,96.92,9075.55,Neutral,0.52,High Performer
0x6d6a4b953f202f8df5bed40692e7fd865318264a,73716.97,78.01,945,163.93,721.06,Neutral,0.38,High Performer
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,44889.58,30.83,1456,116.92,3847.47,Neutral,0.34,High Performer
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,57823.05,45.17,1280,149.56,1613.93,Neutral,0.41,High Performer
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,368551.29,38.07,9682,99.41,2522.72,Neutral,0.5,High Performer
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,11419.55,7.44,1535,41.54,3063.34,Neutral,0.44,High Performer
0x8170715b3b381dffb7062c0298972d4727a0a63b,176663.08,40.78,4332,126.67,1691.95,Neutral,0.47,High Performer
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,23649.7,12.82,1845,59.54,3781.04,Neutral,0.61,High Performer
0x8477e447846c758f5a675856001ea72298fd9cb5,55611.26,3.75,14812,36.92,816.04,Neutral,0.46,High Performer
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,83458.16,27.72,3011,83.17,2952.49,Neutral,0.69,High Performer
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,109083.26,7.09,15381,31.42,1211.46,Neutral,0.64,High Performer
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,50014.69,130.25,384,259.12,1492.51,Neutral,0.4,High Performer
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,31408.85,57.53,546,130.87,2670.29,Neutral,0.61,High Performer
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,5932.61,11.72,506,71.36,4432.73,Neutral,0.58,High Performer
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,430393.85,30.19,14256,100.06,3513.57,Neutral,0.46,High Performer
0xb899e522b5715391ae1d4f137653e7906c5e2115,42626.35,9.73,4380,47.82,11495.56,Neutral,0.49,High Performer
0xbaaaf6571ab7d571043ff1e313a9609a10637864,526728.28,25.36,20769,84.04,2567.41,Neutral,0.53,High Performer
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,122759.62,53.19,2308,167.49,3342.73,Neutral,0.42,High Performer
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,603217.75,15.36,39273,73.05,1679.25,Neutral,0.44,High Performer
